variant,bytes,n,passes,rep,time_ns_per_pass
B,32768,4096,512,7,4416.684
B,32768,4096,512,8,4416.695
B,32768,4096,512,9,4416.668
B,32768,4096,512,10,4420.891
B,32768,4096,512,11,4416.664
B,32768,4096,512,12,4416.633
B,32768,4096,512,13,4416.637
B,32768,4096,512,14,4416.629
B,32768,4096,512,15,4416.645
B,32768,4096,512,16,4416.711
B,32768,4096,512,17,4421.531
B,32768,4096,512,18,4416.598
B,32768,4096,512,19,4416.664
B,65536,8192,256,0,8865.164
B,65536,8192,256,1,8867.672
B,65536,8192,256,2,8865.344
B,65536,8192,256,3,8875.031
B,65536,8192,256,4,8865.297
B,65536,8192,256,5,8865.281
B,65536,8192,256,6,8874.938
B,65536,8192,256,7,8863.961
B,65536,8192,256,8,8873.914
B,65536,8192,256,9,8878.969
B,65536,8192,256,10,8890.453
B,65536,8192,256,11,8868.375
B,65536,8192,256,12,8865.359
B,65536,8192,256,13,8870.531
B,65536,8192,256,14,8875.094
B,65536,8192,256,15,8865.344
B,65536,8192,256,16,8863.820
B,65536,8192,256,17,8875.016
B,65536,8192,256,18,8865.375
B,65536,8192,256,19,8865.430
B,131072,16384,128,0,17762.328
B,131072,16384,128,1,17762.719
B,131072,16384,128,2,17762.750
B,131072,16384,128,3,17778.891
B,131072,16384,128,4,17762.953
B,131072,16384,128,5,17767.719
B,131072,16384,128,6,17787.469
B,131072,16384,128,7,17763.016
B,131072,16384,128,8,17762.719
B,131072,16384,128,9,17762.688
B,131072,16384,128,10,17782.031
B,131072,16384,128,11,17762.688
B,131072,16384,128,12,17760.047
B,131072,16384,128,13,17782.062
B,131072,16384,128,14,17762.828
B,131072,16384,128,15,17762.734
B,131072,16384,128,16,17762.719
B,131072,16384,128,17,17787.125
B,131072,16384,128,18,17762.766
B,131072,16384,128,19,17762.938
B,262144,32768,64,0,35557.500
B,262144,32768,64,1,35557.875
B,262144,32768,64,2,35606.250
B,262144,32768,64,3,35558.031
B,262144,32768,64,4,35557.781
B,262144,32768,64,5,35558.000
B,262144,32768,64,6,35596.312
B,262144,32768,64,7,35558.062
B,262144,32768,64,8,35557.562
B,262144,32768,64,9,35591.250
B,262144,32768,64,10,35557.844
B,262144,32768,64,11,35557.469
B,262144,32768,64,12,35576.062
B,262144,32768,64,13,35611.938
B,262144,32768,64,14,35558.281
B,262144,32768,64,15,35573.312
B,262144,32768,64,16,35611.625
B,262144,32768,64,17,35557.875
B,262144,32768,64,18,35551.906
B,262144,32768,64,19,35558.000
B,524288,65536,32,0,71149.312
B,524288,65536,32,1,71225.812
B,524288,65536,32,2,71146.750
B,524288,65536,32,3,71146.875
B,524288,65536,32,4,71148.438
B,524288,65536,32,5,71259.250
B,524288,65536,32,6,71148.000
B,524288,65536,32,7,71149.250
B,524288,65536,32,8,71225.250
B,524288,65536,32,9,71147.375
B,524288,65536,32,10,71147.688
B,524288,65536,32,11,71147.500
B,524288,65536,32,12,71225.375
B,524288,65536,32,13,71147.312
B,524288,65536,32,14,71136.875
B,524288,65536,32,15,71224.938
B,524288,65536,32,16,71147.938
B,524288,65536,32,17,71147.938
B,524288,65536,32,18,71148.000
B,524288,65536,32,19,71263.062
B,1048576,131072,16,0,142563.000
B,1048576,131072,16,1,142464.375
B,1048576,131072,16,2,142475.875
B,1048576,131072,16,3,142688.500
B,1048576,131072,16,4,142521.000
B,1048576,131072,16,5,142485.875
B,1048576,131072,16,6,142684.125
B,1048576,131072,16,7,142482.750
B,1048576,131072,16,8,142479.500
B,1048576,131072,16,9,142472.875
B,1048576,131072,16,10,142679.000
B,1048576,131072,16,11,142496.125
B,1048576,131072,16,12,142492.500
B,1048576,131072,16,13,142484.500
B,1048576,131072,16,14,142661.625
B,1048576,131072,16,15,142460.750
B,1048576,131072,16,16,142476.875
B,1048576,131072,16,17,142689.500
B,1048576,131072,16,18,142474.500
B,1048576,131072,16,19,142454.500
B,2097152,262144,8,0,285343.000
B,2097152,262144,8,1,284991.500
B,2097152,262144,8,2,284998.500
B,2097152,262144,8,3,285474.250
B,2097152,262144,8,4,285055.500
B,2097152,262144,8,5,284988.500
B,2097152,262144,8,6,286574.250
B,2097152,262144,8,7,285486.000
B,2097152,262144,8,8,284998.000
B,2097152,262144,8,9,284992.250
B,2097152,262144,8,10,285392.500
B,2097152,262144,8,11,284966.250
B,2097152,262144,8,12,284976.000
B,2097152,262144,8,13,285007.000
B,2097152,262144,8,14,285370.250
B,2097152,262144,8,15,284979.750
B,2097152,262144,8,16,284986.000
B,2097152,262144,8,17,285398.500
B,2097152,262144,8,18,285113.250
B,2097152,262144,8,19,285007.250
B,4194304,524288,4,0,569854.500
B,4194304,524288,4,1,570720.000
B,4194304,524288,4,2,569972.500
B,4194304,524288,4,3,570004.000
B,4194304,524288,4,4,569986.500
B,4194304,524288,4,5,570926.500
B,4194304,524288,4,6,569959.000
B,4194304,524288,4,7,569951.000
B,4194304,524288,4,8,570778.000
B,4194304,524288,4,9,569946.000
B,4194304,524288,4,10,570158.500
B,4194304,524288,4,11,569979.500
B,4194304,524288,4,12,570957.000
B,4194304,524288,4,13,569962.500
B,4194304,524288,4,14,569961.500
B,4194304,524288,4,15,570807.000
B,4194304,524288,4,16,569975.000
B,4194304,524288,4,17,569966.500
B,4194304,524288,4,18,569987.500
B,4194304,524288,4,19,570724.500
B,8388608,1048576,2,0,1139776.000
B,8388608,1048576,2,1,1142070.000
B,8388608,1048576,2,2,1139986.000
B,8388608,1048576,2,3,1139980.000
B,8388608,1048576,2,4,1139968.000
B,8388608,1048576,2,5,1141452.000
B,8388608,1048576,2,6,1140009.000
B,8388608,1048576,2,7,1139996.000
B,8388608,1048576,2,8,1141628.000
B,8388608,1048576,2,9,1139948.000
B,8388608,1048576,2,10,1139976.000
B,8388608,1048576,2,11,1139908.000
B,8388608,1048576,2,12,1141567.000
B,8388608,1048576,2,13,1139959.000
B,8388608,1048576,2,14,1139839.000
B,8388608,1048576,2,15,1142530.000
B,8388608,1048576,2,16,1140252.000
B,8388608,1048576,2,17,1140000.000
B,8388608,1048576,2,18,1140010.000
B,8388608,1048576,2,19,1141696.000
B,16777216,2097152,1,0,2279402.000
B,16777216,2097152,1,1,2280214.000
B,16777216,2097152,1,2,2283840.000
B,16777216,2097152,1,3,2281896.000
B,16777216,2097152,1,4,2280310.000
B,16777216,2097152,1,5,2280018.000
B,16777216,2097152,1,6,2284418.000
B,16777216,2097152,1,7,2279742.000
B,16777216,2097152,1,8,2280100.000
B,16777216,2097152,1,9,2283750.000
B,16777216,2097152,1,10,2280070.000
B,16777216,2097152,1,11,2280022.000
B,16777216,2097152,1,12,2279896.000
B,16777216,2097152,1,13,2283324.000
B,16777216,2097152,1,14,2279910.000
B,16777216,2097152,1,15,2280020.000
B,16777216,2097152,1,16,2283152.000
B,16777216,2097152,1,17,2280062.000
B,16777216,2097152,1,18,2279972.000
B,16777216,2097152,1,19,2280124.000
B,33554432,4194304,1,0,4906472.000
B,33554432,4194304,1,1,4903490.000
B,33554432,4194304,1,2,4906588.000
B,33554432,4194304,1,3,4898846.000
B,33554432,4194304,1,4,4899864.000
B,33554432,4194304,1,5,4899836.000
B,33554432,4194304,1,6,4907666.000
B,33554432,4194304,1,7,4897898.000
B,33554432,4194304,1,8,4899864.000
B,33554432,4194304,1,9,4907820.000
B,33554432,4194304,1,10,4904528.000
B,33554432,4194304,1,11,4910428.000
B,33554432,4194304,1,12,4912232.000
B,33554432,4194304,1,13,4902670.000
B,33554432,4194304,1,14,4907756.000
B,33554432,4194304,1,15,4907802.000
B,33554432,4194304,1,16,4907894.000
B,33554432,4194304,1,17,4907820.000
B,33554432,4194304,1,18,4907998.000
B,33554432,4194304,1,19,4907816.000
B,67108864,8388608,1,0,10283966.000
B,67108864,8388608,1,1,10286290.000
B,67108864,8388608,1,2,10286352.000
B,67108864,8388608,1,3,10293140.000
B,67108864,8388608,1,4,10280562.000
B,67108864,8388608,1,5,10294104.000
B,67108864,8388608,1,6,10293900.000
B,67108864,8388608,1,7,10278360.000
B,67108864,8388608,1,8,10283440.000
B,67108864,8388608,1,9,10285940.000
B,67108864,8388608,1,10,10302182.000
B,67108864,8388608,1,11,10294344.000
B,67108864,8388608,1,12,10281496.000
B,67108864,8388608,1,13,10291324.000
B,67108864,8388608,1,14,10280668.000
B,67108864,8388608,1,15,10286268.000
B,67108864,8388608,1,16,10291304.000
B,67108864,8388608,1,17,10287022.000
B,67108864,8388608,1,18,10279510.000
B,67108864,8388608,1,19,10300440.000
B,134217728,16777216,1,0,21009344.000
B,134217728,16777216,1,1,21002354.000
B,134217728,16777216,1,2,21006362.000
B,134217728,16777216,1,3,20997622.000
B,134217728,16777216,1,4,21007222.000
B,134217728,16777216,1,5,21008490.000
B,134217728,16777216,1,6,21010242.000
B,134217728,16777216,1,7,21005892.000
B,134217728,16777216,1,8,21004158.000
B,134217728,16777216,1,9,21012600.000
B,134217728,16777216,1,10,21002448.000
B,134217728,16777216,1,11,21015522.000
B,134217728,16777216,1,12,21010616.000
B,134217728,16777216,1,13,21010202.000
B,134217728,16777216,1,14,21018396.000
B,134217728,16777216,1,15,21020416.000
B,134217728,16777216,1,16,21031836.000
B,134217728,16777216,1,17,21025798.000
B,134217728,16777216,1,18,21026064.000
B,134217728,16777216,1,19,21024160.000
B,268435456,33554432,1,0,42462132.000
B,268435456,33554432,1,1,42476024.000
B,268435456,33554432,1,2,42495130.000
B,268435456,33554432,1,3,42482850.000
B,268435456,33554432,1,4,42487438.000
B,268435456,33554432,1,5,42473192.000
B,268435456,33554432,1,6,43106508.000
B,268435456,33554432,1,7,43914764.000
B,268435456,33554432,1,8,43916478.000
B,268435456,33554432,1,9,43916124.000
B,268435456,33554432,1,10,43939090.000
B,268435456,33554432,1,11,43907980.000
B,268435456,33554432,1,12,43909134.000
B,268435456,33554432,1,13,43802816.000
B,268435456,33554432,1,14,42851036.000
B,268435456,33554432,1,15,42684464.000
B,268435456,33554432,1,16,42682854.000
B,268435456,33554432,1,17,42706366.000
B,268435456,33554432,1,18,42691672.000
B,268435456,33554432,1,19,42691960.000
B4,2048,256,32768,0,65.951
B4,2048,256,32768,1,65.871
B4,2048,256,32768,2,65.642
B4,2048,256,32768,3,65.909
B4,2048,256,32768,4,65.703
B4,2048,256,32768,5,65.828
B4,2048,256,32768,6,65.852
B4,2048,256,32768,7,65.929
B4,2048,256,32768,8,65.912
B4,2048,256,32768,9,66.026
B4,2048,256,32768,10,65.780
B4,2048,256,32768,11,65.908
B4,2048,256,32768,12,65.913
B4,2048,256,32768,13,65.923
B4,2048,256,32768,14,65.912
B4,2048,256,32768,15,65.986
B4,2048,256,32768,16,65.911
B4,2048,256,32768,17,65.911
B4,2048,256,32768,18,65.909
B4,2048,256,32768,19,65.912
B4,4096,512,16384,0,138.179
B4,4096,512,16384,1,138.136
B4,4096,512,16384,2,138.420
B4,4096,512,16384,3,138.222
B4,4096,512,16384,4,138.169
B4,4096,512,16384,5,138.173
B4,4096,512,16384,6,138.360
B4,4096,512,16384,7,138.182
B4,4096,512,16384,8,138.205
B4,4096,512,16384,9,137.916
B4,4096,512,16384,10,138.303
B4,4096,512,16384,11,138.176
B4,4096,512,16384,12,138.175
B4,4096,512,16384,13,138.163
B4,4096,512,16384,14,138.341
B4,4096,512,16384,15,138.141
B4,4096,512,16384,16,138.179
B4,4096,512,16384,17,138.407
B4,4096,512,16384,18,137.929
B4,4096,512,16384,19,138.071
B4,8192,1024,8192,0,277.205
B4,8192,1024,8192,1,277.171
B4,8192,1024,8192,2,276.840
B4,8192,1024,8192,3,277.281
B4,8192,1024,8192,4,277.211
B4,8192,1024,8192,5,277.198
B4,8192,1024,8192,6,277.210
B4,8192,1024,8192,7,277.469
B4,8192,1024,8192,8,277.163
B4,8192,1024,8192,9,277.266
B4,8192,1024,8192,10,277.494
B4,8192,1024,8192,11,277.207
B4,8192,1024,8192,12,277.192
B4,8192,1024,8192,13,277.179
B4,8192,1024,8192,14,277.498
B4,8192,1024,8192,15,277.154
B4,8192,1024,8192,16,277.195
B4,8192,1024,8192,17,277.199
B4,8192,1024,8192,18,277.503
B4,8192,1024,8192,19,277.207
B4,16384,2048,4096,0,555.237
B4,16384,2048,4096,1,555.380
B4,16384,2048,4096,2,555.393
B4,16384,2048,4096,3,555.606
B4,16384,2048,4096,4,554.982
B4,16384,2048,4096,5,555.000
B4,16384,2048,4096,6,555.272
B4,16384,2048,4096,7,554.778
B4,16384,2048,4096,8,555.731
B4,16384,2048,4096,9,555.862
B4,16384,2048,4096,10,556.354
B4,16384,2048,4096,11,555.245
B4,16384,2048,4096,12,555.190
B4,16384,2048,4096,13,555.236
B4,16384,2048,4096,14,555.809
B4,16384,2048,4096,15,555.235
B4,16384,2048,4096,16,555.615
B4,16384,2048,4096,17,555.827
B4,16384,2048,4096,18,555.229
B4,16384,2048,4096,19,555.258
B4,32768,4096,2048,0,1113.250
B4,32768,4096,2048,1,1112.783
B4,32768,4096,2048,2,1114.546
B4,32768,4096,2048,3,1113.356
B4,32768,4096,2048,4,1113.353
B4,32768,4096,2048,5,1113.325
B4,32768,4096,2048,6,1114.568
B4,32768,4096,2048,7,1113.027
B4,32768,4096,2048,8,1112.915
B4,32768,4096,2048,9,1113.680
B4,32768,4096,2048,10,1114.631
B4,32768,4096,2048,11,1113.865
B4,32768,4096,2048,12,1113.308
B4,32768,4096,2048,13,1114.615
B4,32768,4096,2048,14,1113.368
B4,32768,4096,2048,15,1113.396
B4,32768,4096,2048,16,1113.372
B4,32768,4096,2048,17,1114.412
B4,32768,4096,2048,18,1113.359
B4,32768,4096,2048,19,1112.986
B4,65536,8192,1024,0,2225.785
B4,65536,8192,1024,1,2226.996
B4,65536,8192,1024,2,2228.211
B4,65536,8192,1024,3,2225.863
B4,65536,8192,1024,4,2225.447
B4,65536,8192,1024,5,2228.375
B4,65536,8192,1024,6,2227.086
B4,65536,8192,1024,7,2226.668
B4,65536,8192,1024,8,2225.879
B4,65536,8192,1024,9,2228.312
B4,65536,8192,1024,10,2225.910
B4,65536,8192,1024,11,2226.125
B4,65536,8192,1024,12,2228.338
B4,65536,8192,1024,13,2225.680
B4,65536,8192,1024,14,2226.178
B4,65536,8192,1024,15,2226.293
B4,65536,8192,1024,16,2229.098
B4,65536,8192,1024,17,2225.877
B4,65536,8192,1024,18,2225.838
B4,65536,8192,1024,19,2228.348
B4,131072,16384,512,0,4455.855
B4,131072,16384,512,1,4459.672
B4,131072,16384,512,2,4455.840
B4,131072,16384,512,3,4455.906
B4,131072,16384,512,4,4460.539
B4,131072,16384,512,5,4455.844
B4,131072,16384,512,6,4455.902
B4,131072,16384,512,7,4455.980
B4,131072,16384,512,8,4463.582
B4,131072,16384,512,9,4455.961
B4,131072,16384,512,10,4455.277
B4,131072,16384,512,11,4460.746
B4,131072,16384,512,12,4457.617
B4,131072,16384,512,13,4455.922
B4,131072,16384,512,14,4455.934
B4,131072,16384,512,15,4460.836
B4,131072,16384,512,16,4455.977
B4,131072,16384,512,17,4455.957
B4,131072,16384,512,18,4455.914
B4,131072,16384,512,19,4460.039
B4,262144,32768,256,0,8919.477
B4,262144,32768,256,1,8905.133
B4,262144,32768,256,2,8905.188
B4,262144,32768,256,3,8914.891
B4,262144,32768,256,4,8905.156
B4,262144,32768,256,5,8905.156
B4,262144,32768,256,6,8903.594
B4,262144,32768,256,7,8915.109
B4,262144,32768,256,8,8905.133
B4,262144,32768,256,9,8905.305
B4,262144,32768,256,10,8914.852
B4,262144,32768,256,11,8905.297
B4,262144,32768,256,12,8905.250
B4,262144,32768,256,13,8905.141
B4,262144,32768,256,14,8917.758
B4,262144,32768,256,15,8905.031
B4,262144,32768,256,16,8905.359
B4,262144,32768,256,17,8905.078
B4,262144,32768,256,18,8914.906
B4,262144,32768,256,19,8905.180
B4,524288,65536,128,0,17809.844
B4,524288,65536,128,1,17810.359
B4,524288,65536,128,2,17826.531
B4,524288,65536,128,3,17810.094
B4,524288,65536,128,4,17810.500
B4,524288,65536,128,5,17810.969
B4,524288,65536,128,6,17829.672
B4,524288,65536,128,7,17821.812
B4,524288,65536,128,8,17811.125
B4,524288,65536,128,9,17829.906
B4,524288,65536,128,10,17815.406
B4,524288,65536,128,11,17806.844
B4,524288,65536,128,12,17810.797
B4,524288,65536,128,13,17830.469
B4,524288,65536,128,14,17815.375
B4,524288,65536,128,15,17810.344
B4,524288,65536,128,16,17829.594
B4,524288,65536,128,17,17810.641
B4,524288,65536,128,18,17809.625
B4,524288,65536,128,19,17810.328
B4,1048576,131072,64,0,35998.469
B4,1048576,131072,64,1,35881.938
B4,1048576,131072,64,2,36291.500
B4,1048576,131072,64,3,35935.938
B4,1048576,131072,64,4,35819.062
B4,1048576,131072,64,5,35805.438
B4,1048576,131072,64,6,35819.156
B4,1048576,131072,64,7,35866.812
B4,1048576,131072,64,8,35806.594
B4,1048576,131072,64,9,35811.062
B4,1048576,131072,64,10,35885.000
B4,1048576,131072,64,11,35818.594
B4,1048576,131072,64,12,35817.344
B4,1048576,131072,64,13,35889.594
B4,1048576,131072,64,14,35815.000
B4,1048576,131072,64,15,35819.000
B4,1048576,131072,64,16,35797.625
B4,1048576,131072,64,17,35885.406
B4,1048576,131072,64,18,35808.812
B4,1048576,131072,64,19,35809.500
B4,2097152,262144,32,0,80485.188
B4,2097152,262144,32,1,80393.750
B4,2097152,262144,32,2,80450.438
B4,2097152,262144,32,3,80522.812
B4,2097152,262144,32,4,80460.562
B4,2097152,262144,32,5,80702.688
B4,2097152,262144,32,6,79033.250
B4,2097152,262144,32,7,78819.938
B4,2097152,262144,32,8,78915.000
B4,2097152,262144,32,9,79046.000
B4,2097152,262144,32,10,78927.250
B4,2097152,262144,32,11,79317.250
B4,2097152,262144,32,12,79208.625
B4,2097152,262144,32,13,79356.750
B4,2097152,262144,32,14,79346.312
B4,2097152,262144,32,15,79330.250
B4,2097152,262144,32,16,79575.188
B4,2097152,262144,32,17,79512.688
B4,2097152,262144,32,18,79682.312
B4,2097152,262144,32,19,79536.000
B4,4194304,524288,16,0,159796.625
B4,4194304,524288,16,1,160229.500
B4,4194304,524288,16,2,160404.500
B4,4194304,524288,16,3,160092.000
B4,4194304,524288,16,4,160412.750
B4,4194304,524288,16,5,160323.375
B4,4194304,524288,16,6,160700.000
B4,4194304,524288,16,7,160500.500
B4,4194304,524288,16,8,161060.250
B4,4194304,524288,16,9,161318.500
B4,4194304,524288,16,10,160885.500
B4,4194304,524288,16,11,161050.125
B4,4194304,524288,16,12,160906.750
B4,4194304,524288,16,13,161144.250
B4,4194304,524288,16,14,160878.375
B4,4194304,524288,16,15,161143.875
B4,4194304,524288,16,16,161111.625
B4,4194304,524288,16,17,161048.750
B4,4194304,524288,16,18,161338.750
B4,4194304,524288,16,19,161297.750
B4,8388608,1048576,8,0,315252.500
B4,8388608,1048576,8,1,315370.750
B4,8388608,1048576,8,2,316052.000
B4,8388608,1048576,8,3,316097.000
B4,8388608,1048576,8,4,315543.000
B4,8388608,1048576,8,5,315987.000
B4,8388608,1048576,8,6,315588.500
B4,8388608,1048576,8,7,316070.000
B4,8388608,1048576,8,8,315703.000
B4,8388608,1048576,8,9,317675.750
B4,8388608,1048576,8,10,318372.500
B4,8388608,1048576,8,11,318699.500
B4,8388608,1048576,8,12,317932.250
B4,8388608,1048576,8,13,318386.250
B4,8388608,1048576,8,14,317855.750
B4,8388608,1048576,8,15,318373.500
B4,8388608,1048576,8,16,318562.250
B4,8388608,1048576,8,17,318082.500
B4,8388608,1048576,8,18,318552.500
B4,8388608,1048576,8,19,317795.750
B4,16777216,2097152,4,0,813048.000
B4,16777216,2097152,4,1,817090.000
B4,16777216,2097152,4,2,816620.000
B4,16777216,2097152,4,3,815714.000
B4,16777216,2097152,4,4,820572.000
B4,16777216,2097152,4,5,813960.000
B4,16777216,2097152,4,6,805783.500
B4,16777216,2097152,4,7,809782.000
B4,16777216,2097152,4,8,805936.500
B4,16777216,2097152,4,9,804580.000
B4,16777216,2097152,4,10,804860.500
B4,16777216,2097152,4,11,805002.500
B4,16777216,2097152,4,12,806738.000
B4,16777216,2097152,4,13,806469.500
B4,16777216,2097152,4,14,802070.000
B4,16777216,2097152,4,15,789103.000
B4,16777216,2097152,4,16,789128.000
B4,16777216,2097152,4,17,787583.500
B4,16777216,2097152,4,18,787980.000
B4,16777216,2097152,4,19,785883.000
B4,33554432,4194304,1,0,2430488.000
B4,33554432,4194304,1,1,2413920.000
B4,33554432,4194304,1,2,2409880.000
B4,33554432,4194304,1,3,2403284.000
B4,33554432,4194304,1,4,2403640.000
B4,33554432,4194304,1,5,2414510.000
B4,33554432,4194304,1,6,2450104.000
B4,33554432,4194304,1,7,2464364.000
B4,33554432,4194304,1,8,2436978.000
B4,33554432,4194304,1,9,2431258.000
B4,33554432,4194304,1,10,2451648.000
B4,33554432,4194304,1,11,2431792.000
B4,33554432,4194304,1,12,2432780.000
B4,33554432,4194304,1,13,2436422.000
B4,33554432,4194304,1,14,2426114.000
B4,33554432,4194304,1,15,2419048.000
B4,33554432,4194304,1,16,2414504.000
B4,33554432,4194304,1,17,2415480.000
B4,33554432,4194304,1,18,2408174.000
B4,33554432,4194304,1,19,2413778.000
B4,67108864,8388608,1,0,6067984.000
B4,67108864,8388608,1,1,6094392.000
B4,67108864,8388608,1,2,6129146.000
B4,67108864,8388608,1,3,6093772.000
B4,67108864,8388608,1,4,6127208.000
B4,67108864,8388608,1,5,6085432.000
B4,67108864,8388608,1,6,6083028.000
B4,67108864,8388608,1,7,6137234.000
B4,67108864,8388608,1,8,6085942.000
B4,67108864,8388608,1,9,6135652.000
B4,67108864,8388608,1,10,6128780.000
B4,67108864,8388608,1,11,6120948.000
B4,67108864,8388608,1,12,6120368.000
B4,67108864,8388608,1,13,6127112.000
B4,67108864,8388608,1,14,6117246.000
B4,67108864,8388608,1,15,6117816.000
B4,67108864,8388608,1,16,6117864.000
B4,67108864,8388608,1,17,6142998.000
B4,67108864,8388608,1,18,6127360.000
B4,67108864,8388608,1,19,6106792.000
B4,134217728,16777216,1,0,13339128.000
B4,134217728,16777216,1,1,13353774.000
B4,134217728,16777216,1,2,13355928.000
B4,134217728,16777216,1,3,13362634.000
B4,134217728,16777216,1,4,13358426.000
B4,134217728,16777216,1,5,13350736.000
B4,134217728,16777216,1,6,13343328.000
B4,134217728,16777216,1,7,13372834.000
B4,134217728,16777216,1,8,13339634.000
B4,134217728,16777216,1,9,13345758.000
B4,134217728,16777216,1,10,13353718.000
B4,134217728,16777216,1,11,13341108.000
B4,134217728,16777216,1,12,13362544.000
B4,134217728,16777216,1,13,13344154.000
B4,134217728,16777216,1,14,13373240.000
B4,134217728,16777216,1,15,13326828.000
B4,134217728,16777216,1,16,13331066.000
B4,134217728,16777216,1,17,13344730.000
B4,134217728,16777216,1,18,13390302.000
B4,134217728,16777216,1,19,13373608.000
B4,268435456,33554432,1,0,27787680.000
B4,268435456,33554432,1,1,27818312.000
B4,268435456,33554432,1,2,27836718.000
B4,268435456,33554432,1,3,27781636.000
B4,268435456,33554432,1,4,27818380.000
B4,268435456,33554432,1,5,27813240.000
B4,268435456,33554432,1,6,27813774.000
B4,268435456,33554432,1,7,27778924.000
B4,268435456,33554432,1,8,28334698.000
B4,268435456,33554432,1,9,28186356.000
B4,268435456,33554432,1,10,27818368.000
B4,268435456,33554432,1,11,27820704.000
B4,268435456,33554432,1,12,27816218.000
B4,268435456,33554432,1,13,27782790.000
B4,268435456,33554432,1,14,27799868.000
B4,268435456,33554432,1,15,27818648.000
B4,268435456,33554432,1,16,27848734.000
B4,268435456,33554432,1,17,27811370.000
B4,268435456,33554432,1,18,27853728.000
B4,268435456,33554432,1,19,27838032.000
